Absorb Bulb
Adamant Orb
Air Balloon
Amulet Coin
Big Root
Binding Band
Black Belt
BlackGlasses
Black Sludge
Blue Scarf
Bright Powder
Bug Gem	Hold
Burn Drive
Cell Battery
Charcoal
Chill Drive
Choice Band
Choice Scarf
Choice Specs
Cleanse Tag
Damp Rock
Dark Gem
Deepseascale
Deepseatooth
Destiny Knot
Douse Drive
Draco Plate
Dragon Fang
Dragon Gem
Dread Plate
Earth Plate
Eject Button
Electric Gem
Everstone
Eviolite
Expert Belt
Exp. Share
Fighting Gem
Fire Gem
Fist Plate
Flame Orb
Flame Plate
Float Stone
Flying Gem
Focus Band
Focus Sash
Full Incense
Gene Wedge
Ghost Gem
Grass Gem
Green Scarf
Grip Claw
Griseous Orb
Ground Gem
Hard Stone
Heat Rock
Ice Gem
Ice Heal
Icicle Plate
Icy Rock
Insect Plate
Iron Ball
Iron Plate
King's Rock
Lagging Tail
Lax Incense
Leftovers
Life Orb
Light Ball
Light Clay
Luck Incense
Lucky Egg
Lucky Punch
Lustrous Orb
Macho Brace
Magmarizer
Magnet	Hold
Meadow Plate
Mental Herb
Metal Coat
Metal Powder
Metronome
Mind Plate
Miracle Seed
Muscle Band
Mystic Water
NeverMeltIce
Normal Gem
Odd Incense
Pink Scarf
Poison Barb
Poison Gem
Power Anklet
Power Band
Power Belt
Power Bracer
Power Herb
Power Lens
Power Weight
Prism Scale
Psychic Gem
Pure Incense
Quick Claw
Quick Powder
Rare Candy
Razor Claw
Razor Fang
Red Card
Red Scarf
Ring Target
Rock Gem
Rock Incense
Rocky Helmet
Rose Incense
Scope Lens
Sea Incense
Sharp Beak
Shed Shell
Shell Bell
Shock Drive
Silk Scarf
SilverPowder
Sky Plate
Smoke Ball
Smooth Rock
Soft Sand
Soothe Bell
Soul Dew
Spell Tag
Splash Plate
Spooky Plate
Steel Gem
Stick
Sticky Barb
Stone Plate
Thick Club
Toxic Orb
Toxic Plate
TwistedSpoon
Water Gem
Wave Incense
White Herb
Wide Lens
Wise Glasses
Yellow Scarf
Zap Plate
Zoom Lens
Curve Band
Def. Scarf
Detect Band
Diet Ribbon
Dodge Scarf
Friend Bow
Gold Ribbon
Heal Ribbon
Joy Ribbon
Mobile Scarf
Munch Band
No-Stick Cap
Pass Scarf
Patsy Band
Pecha Scarf
Persim Band
Pierce Band
Plain Ribbon
Power Band
Racket Band
Sneak Scarf
Special Band
Stamina Band
Tight Belt
Trap Scarf
Twist Band
Warp Scarf
Weather Band
Zinc Band
Cacnea Spike
Corsola Twig
Gold Fang
Golden Twig
Iron Thorn
Ancient Fossil
Silver Spike
Stick
Geo Pebble
Gravlerock
Goggle Specs
Insomniscope
Lockon Specs
No-Aim Scope
Scope Lens
Whiff Specs
X-Ray Specs
Wander Gummi?
Reviser Seed?
Drop-eye Seed?
Vile Seed?
Fire Drum
Time Space Orb
Secret Slab
Lost Loot
Flying Pianica
Grass Trumpet
Ice Flute
Land Cymbal
Rock Megaphone
Water Harmonica
Amber Tear
Itemizer Orb
Golden Mask
Miracle Chest
Wonder Chest
Apple
Big Apple
Enormous Apple
Golden Apple
Grimy Food
Black Gummi
Blue Gummi
Brown Gummi
Clear Gummi
Gold Gummi
Grass Gummi
Grey Gummi
Green Gummi
Mysterious Gummi
Orange Gummi
Pink Gummi
Purple Gummi
Red Gummi
Royal Gummi
Silver Gummi
Sky Gummi
White Gummi
Yellow Gummi
X-Eye Seed
Blast Seed
Blinker Seed
Doom Seed
Eyedrop Seed
Evil Seed
Golden Seed
Violent Seed
Heal Seed
Hunger Seed
Joy Seed
Life Seed
Plain Seed
Quick Seed
Reviver Seed
Pure Seed
Sleep Seed
Stun Seed
Totter Seed
Vanish Seed
Warp Seed
Mysterious Egg
Key
Wander Gummi
Eon Veil
Heart Brooch
Icy Collar
Virid Collar
Firm Cloak
Defend Globe
Cheat Cap
IT Brooch
Virtual Bow
Friend Torc
Cynda-Claw
Blast Bangle
Feral-Fang
Shinx Fang
Sparkle Ruff
Ravage Ring
Light Collar
Red Sunglasses
Short Spike
Red Scarf
Whip
Gaggle Specs?
Y-Ray Specs?
Slip Seed?
Gone Pebble?
Gravelyrock?
Mix Elixir?
Dough Seed?
Via Seed?
Oren Berry?
